     Date/Time     ,   Chan 0,   Chan 1,   Chan 2,   Chan 3,   Chan 4,   Chan 5,   Chan 6,   Chan 7
0.0007702630027779378,     2.83543,     0.74845,     0.39183,     0.44084,    -0.14139,    -0.24372,    -0.20735,    -0.21136
0.020967258999007754,     2.83604,     2.00446,     0.67571,     0.64858,    -0.19286,    -0.25050,    -0.24341,    -0.24465
0.04062650699779624,     2.83111,     2.19432,     0.72595,     0.68187,    -0.21506,    -0.26530,    -0.26129,    -0.25852
0.060746394003217574,     2.83943,     2.37525,     0.72133,     0.67448,    -0.22122,    -0.26776,    -0.26930,    -0.26160
0.08066104399767937,     2.83481,     2.55525,     0.72872,     0.67941,    -0.22461,    -0.26653,    -0.27023,    -0.26283
0.10071009900275385,     2.83358,     2.72477,     0.72718,     0.67725,    -0.22492,    -0.26468,    -0.27208,    -0.26530
0.12056821300211595,     2.83820,     2.88320,     0.73211,     0.67941,    -0.22584,    -0.26437,    -0.27362,    -0.26560
0.1404001060000155,     2.83296,     3.02745,     0.73150,     0.68126,    -0.22738,    -0.26160,    -0.27362,    -0.26622
0.16040836500178557,     2.82741,     3.15290,     0.72749,     0.67725,    -0.22738,    -0.26036,    -0.27423,    -0.26622
0.180407624997315,     2.83666,     3.26447,     0.72595,     0.67571,    -0.22831,    -0.25852,    -0.27393,    -0.26560
0.2004077360033989,     2.83080,     3.35478,     0.72009,     0.66893,    -0.22584,    -0.25790,    -0.27393,    -0.26437
0.22059363999869674,     2.82772,     3.42290,     0.72780,     0.67910,    -0.22862,    -0.25759,    -0.27485,    -0.26684
0.24051058600161923,     2.82710,     3.46852,     0.72564,     0.67725,    -0.22893,    -0.25697,    -0.27578,    -0.26684
0.2604277729988098,     2.83573,     3.49163,     0.72903,     0.67910,    -0.23047,    -0.25759,    -0.27701,    -0.26745
0.2804191440009163,     2.83851,     3.49194,     0.72749,     0.67787,    -0.23016,    -0.25697,    -0.27639,    -0.26838
0.3004210889994283,     2.84097,     3.46790,     0.72595,     0.67663,    -0.22985,    -0.25821,    -0.27485,    -0.26684
0.320421737000288,     2.83635,     3.42043,     0.72656,     0.67694,    -0.23078,    -0.25913,    -0.27608,    -0.26807
0.34042305299954023,     2.83758,     3.35139,     0.72687,     0.67756,    -0.23047,    -0.26036,    -0.27732,    -0.26745
0.360425942002621,     2.83543,     3.25954,     0.72718,     0.67725,    -0.22985,    -0.26191,    -0.27516,    -0.26684
0.38042649799899664,     2.83481,     3.14920,     0.72656,     0.67602,    -0.22862,    -0.26221,    -0.27547,    -0.26684
0.40042627599905245,     2.83265,     3.02005,     0.71917,     0.67016,    -0.22738,    -0.26406,    -0.27578,    -0.26622
0.4204868860033457,     2.83204,     2.87457,     0.73057,     0.67941,    -0.22954,    -0.26684,    -0.27578,    -0.26745
0.44044055399717763,     2.83943,     2.71522,     0.73119,     0.68126,    -0.23078,    -0.26961,    -0.27732,    -0.26745
0.4604382940015057,     2.83604,     2.54570,     0.72811,     0.67694,    -0.22923,    -0.27084,    -0.27578,    -0.26653
0.4804419060019427,     2.83728,     2.36631,     0.72687,     0.67602,    -0.22800,    -0.27269,    -0.27608,    -0.26653
0.5004404799983604,     2.83728,     2.18169,     0.72626,     0.67725,    -0.22738,    -0.27516,    -0.27485,    -0.26684
0.5204414239997277,     2.84097,     1.99398,     0.72564,     0.67663,    -0.22800,    -0.27824,    -0.27393,    -0.26591
0.5414756259997375,     2.83758,     1.80596,     0.71516,     0.66584,    -0.22523,    -0.27917,    -0.27239,    -0.26468
0.5604485169969848,     2.83481,     1.61178,     0.73612,     0.68557,    -0.22769,    -0.28348,    -0.27578,    -0.26745
0.580449535002117,     2.83604,     1.44349,     0.72564,     0.67694,    -0.22554,    -0.28441,    -0.27423,    -0.26560
0.6004474430010305,     2.83204,     1.27304,     0.72040,     0.66985,    -0.22338,    -0.28656,    -0.27208,    -0.26376
0.620485015999293,     2.83049,     1.11462,     0.73057,     0.68280,    -0.22646,    -0.29026,    -0.27516,    -0.26560
0.6405302380007925,     2.82495,     0.97006,     0.72348,     0.67263,    -0.22430,    -0.29119,    -0.27454,    -0.26468
0.6604705909994664,     2.83512,     0.84122,     0.72841,     0.67848,    -0.22492,    -0.29211,    -0.27331,    -0.26499
0.6804719979991205,     2.83882,     0.73119,     0.72718,     0.67663,    -0.22492,    -0.29458,    -0.27423,    -0.26530
0.7004687579974416,     2.83912,     0.64119,     0.72595,     0.67725,    -0.22430,    -0.29550,    -0.27393,    -0.26499
0.7204705719996127,     2.83481,     0.57369,     0.72472,     0.67571,    -0.22307,    -0.29581,    -0.27239,    -0.26437
0.7404739429985057,     2.83882,     0.52776,     0.72564,     0.67632,    -0.22307,    -0.29704,    -0.27362,    -0.26468
0.7604753319974407,     2.83789,     0.50372,     0.72472,     0.67386,    -0.22338,    -0.29674,    -0.27239,    -0.26345
0.7804741279978771,     2.83234,     0.50464,     0.72533,     0.67540,    -0.22307,    -0.29766,    -0.27331,    -0.26468
0.8004789620026713,     2.82834,     0.52807,     0.72040,     0.66893,    -0.22215,    -0.29674,    -0.27146,    -0.26376
0.820676513001672,     2.82125,     0.57615,     0.72841,     0.67910,    -0.22461,    -0.29704,    -0.27331,    -0.26437
0.8404977760001202,     2.83882,     0.64643,     0.73026,     0.68064,    -0.22554,    -0.29704,    -0.27485,    -0.26622
0.8604939979995834,     2.83481,     0.73704,     0.72472,     0.67632,    -0.22554,    -0.29581,    -0.27485,    -0.26591
0.880486888003361,     2.83789,     0.84739,     0.72441,     0.67571,    -0.22461,    -0.29334,    -0.27547,    -0.26591
0.9004888690033113,     2.83974,     0.97653,     0.72441,     0.67571,    -0.22677,    -0.29242,    -0.27516,    -0.26684
0.9204924250007025,     2.83912,     1.12078,     0.72502,     0.67540,    -0.22615,    -0.28995,    -0.27578,    -0.26715
0.9414690170015092,     2.83974,     1.28106,     0.71362,     0.66276,    -0.22461,    -0.28718,    -0.27423,    -0.26530
0.9604930360001163,     2.84159,     1.45983,     0.73365,     0.68280,    -0.22738,    -0.28656,    -0.27608,    -0.26653
0.980494962001103,     2.83820,     1.62966,     0.72472,     0.67540,    -0.22738,    -0.28379,    -0.27578,    -0.26776
1.0004974990006303,     2.83204,     1.81428,     0.71855,     0.66831,    -0.22646,    -0.28132,    -0.27485,    -0.26622
1.020574811998813,     2.83296,     2.00230,     0.72903,     0.67910,    -0.22893,    -0.28009,    -0.27639,    -0.26745
1.040653106996615,     2.83296,     2.19062,     0.72533,     0.67602,    -0.23047,    -0.27763,    -0.27824,    -0.26869
1.0605280730014783,     2.83974,     2.37648,     0.72687,     0.67663,    -0.23139,    -0.27547,    -0.27855,    -0.26961
1.0805387209984474,     2.83882,     2.55402,     0.72441,     0.67448,    -0.23016,    -0.27269,    -0.27855,    -0.27023
1.1005245170017588,     2.83080,     2.72416,     0.72472,     0.67478,    -0.23170,    -0.26992,    -0.27732,    -0.26961
1.1205218140021316,     2.83234,     2.88166,     0.72287,     0.67571,    -0.23201,    -0.26930,    -0.27978,    -0.27054
1.1405251100004534,     2.83943,     3.02714,     0.72379,     0.67386,    -0.23232,    -0.26684,    -0.27855,    -0.26992
1.1605277950002346,     2.83789,     3.15474,     0.72348,     0.67540,    -0.23324,    -0.26560,    -0.27947,    -0.27054
1.1805306280002696,     2.84251,     3.26386,     0.72379,     0.67540,    -0.23386,    -0.26468,    -0.28009,    -0.27084
1.2005339800016372,     2.83234,     3.35478,     0.71793,     0.66831,    -0.23232,    -0.26406,    -0.27855,    -0.26900
1.2205765350008733,     2.82803,     3.42259,     0.72687,     0.67941,    -0.23447,    -0.26437,    -0.28040,    -0.27084
1.2405519250023644,     2.84036,     3.46913,     0.72749,     0.67972,    -0.23540,    -0.26345,    -0.28163,    -0.27146
1.2605414619974908,     2.83758,     3.49194,     0.72441,     0.67694,    -0.23571,    -0.26314,    -0.28163,    -0.27177
1.280542868997145,     2.83635,     3.49256,     0.72348,     0.67571,    -0.23571,    -0.26345,    -0.28225,    -0.27208
1.300546646998555,     2.83666,     3.46790,     0.72410,     0.67571,    -0.23571,    -0.26376,    -0.28194,    -0.27054
1.3205480550022912,     2.83666,     3.42074,     0.72287,     0.67571,    -0.23632,    -0.26499,    -0.28102,    -0.27208
1.3414671290011029,     2.83789,     3.34954,     0.71362,     0.66584,    -0.23478,    -0.26499,    -0.28256,    -0.27239
1.360551461999421,     2.83666,     3.25461,     0.73119,     0.68465,    -0.23756,    -0.26869,    -0.28256,    -0.27269
1.3805509809972136,     2.83543,     3.14735,     0.72348,     0.67602,    -0.23602,    -0.26900,    -0.28287,    -0.27269
1.4005510360002518,     2.83111,     3.01882,     0.71547,     0.66893,    -0.23386,    -0.27177,    -0.28040,    -0.27084
1.4205954060016666,     2.82957,     2.87395,     0.72595,     0.68064,    -0.23602,    -0.27362,    -0.28163,    -0.27269
1.4405863319989294,     2.83419,     2.71368,     0.72071,     0.67509,    -0.23478,    -0.27608,    -0.28194,    -0.27269
1.4605752389979898,     2.83666,     2.54446,     0.72225,     0.67632,    -0.24095,    -0.27855,    -0.27793,    -0.27239
1.4805661470018094,     2.83820,     2.36569,     0.72163,     0.67540,    -0.23663,    -0.27393,    -0.27578,    -0.27023
1.5005665349963238,     2.83758,     2.18014,     0.72194,     0.67540,    -0.23786,    -0.28102,    -0.27670,    -0.27023
1.5205671829971834,     2.83450,     1.99244,     0.72194,     0.67386,    -0.23910,    -0.28441,    -0.27639,    -0.27023
1.5405659050011309,     2.83728,     1.80504,     0.72163,     0.67417,    -0.23848,    -0.28841,    -0.27732,    -0.27023
1.560568497996428,     2.83573,     1.62103,     0.72102,     0.67509,    -0.23694,    -0.28965,    -0.27639,    -0.26930
1.5805728120030835,     2.83666,     1.44257,     0.72009,     0.67355,    -0.23725,    -0.29150,    -0.27639,    -0.26992
1.6005788679976831,     2.82772,     1.27243,     0.71670,     0.66893,    -0.23509,    -0.29427,    -0.27454,    -0.26869
1.6208047710024402,     2.83204,     1.11431,     0.72502,     0.67848,    -0.23602,    -0.29766,    -0.27454,    -0.26930
1.6405910890025552,     2.84221,     0.96852,     0.72564,     0.68002,    -0.23663,    -0.29920,    -0.27608,    -0.27023
1.6605862740034354,     2.83789,     0.84153,     0.72256,     0.67663,    -0.23694,    -0.30074,    -0.27670,    -0.26961
1.6805869969975902,     2.83820,     0.72996,     0.72225,     0.67448,    -0.23571,    -0.30167,    -0.27547,    -0.26961
1.700586699997075,     2.83820,     0.64119,     0.72009,     0.67355,    -0.23447,    -0.30259,    -0.27393,    -0.26900
1.7205892740021227,     2.83543,     0.57245,     0.72287,     0.67509,    -0.23478,    -0.30321,    -0.27454,    -0.26869
1.7414670340003795,     2.83604,     0.52714,     0.71269,     0.66646,    -0.23293,    -0.30167,    -0.27269,    -0.26715
1.7605939770000987,     2.83697,     0.50280,     0.72903,     0.68280,    -0.23540,    -0.30506,    -0.27608,    -0.26900
1.7805944770007045,     2.83573,     0.50372,     0.72287,     0.67663,    -0.23386,    -0.30290,    -0.27423,    -0.26838
1.8005966990021989,     2.83265,     0.52807,     0.71701,     0.66708,    -0.23108,    -0.30228,    -0.27146,    -0.26745
1.8206326240033377,     2.83388,     0.57554,     0.72841,     0.67910,    -0.23417,    -0.30167,    -0.27362,    -0.26869
1.840685807997943,     2.82895,     0.64766,     0.71732,     0.67201,    -0.23232,    -0.30013,    -0.27300,    -0.26684
1.8606138830000418,     2.83697,     0.73797,     0.72626,     0.68033,    -0.23417,    -0.29920,    -0.27454,    -0.26838
1.8806106979973265,     2.83573,     0.84800,     0.72133,     0.67725,    -0.23293,    -0.29643,    -0.27331,    -0.26715
1.9006119940022472,     2.83789,     0.97777,     0.72194,     0.67478,    -0.23355,    -0.29550,    -0.27239,    -0.26684
1.9206129200028954,     2.83635,     1.12263,     0.72317,     0.67602,    -0.23293,    -0.29150,    -0.27362,    -0.26745
1.9406171969967545,     2.83974,     1.28229,     0.72071,     0.67725,    -0.23262,    -0.28841,    -0.27300,    -0.26684
1.9606122530021821,     2.83666,     1.45181,     0.72287,     0.67694,    -0.23386,    -0.28687,    -0.27331,    -0.26684
1.980615863998537,     2.83728,     1.63120,     0.72317,     0.67602,    -0.23293,    -0.28348,    -0.27393,    -0.26715
