     Date/Time     ,   Chan 0,   Chan 1,   Chan 2,   Chan 3,   Chan 4,   Chan 5,   Chan 6,   Chan 7
0.0005127190015628003,     1.69438,     1.99706,     0.11320,     0.14125,    -0.16944,    -0.22091,    -0.23725,    -0.23848
0.020623700998839922,     1.69346,     1.99768,     0.27502,     0.25868,    -0.21937,    -0.25574,    -0.26098,    -0.25852
0.04053329499947722,     1.69408,     1.99706,     0.32649,     0.30584,    -0.23756,    -0.27177,    -0.27947,    -0.27670
0.060546740001882426,     1.69377,     1.99706,     0.30892,     0.28303,    -0.23602,    -0.27208,    -0.28009,    -0.27516
0.08059098200101289,     1.69408,     1.99706,     0.30492,     0.27933,    -0.23417,    -0.27177,    -0.27886,    -0.27516
0.10041694699975778,     1.69254,     1.99675,     0.31570,     0.29135,    -0.23848,    -0.27177,    -0.28071,    -0.27670
0.12030878199948347,     1.68606,     1.99644,     0.30492,     0.28180,    -0.23694,    -0.27023,    -0.28071,    -0.27300
0.14052124400041066,     1.69130,     1.99675,     0.29259,     0.26670,    -0.23540,    -0.26930,    -0.27886,    -0.27362
0.1603551170010178,     1.69254,     1.99706,     0.30122,     0.27533,    -0.23417,    -0.26900,    -0.27824,    -0.27239
0.18031591399994795,     1.69685,     1.99613,     0.30337,     0.27841,    -0.23602,    -0.26900,    -0.27793,    -0.27177
0.20036323000022094,     1.69438,     1.99706,     0.29659,     0.27040,    -0.23324,    -0.26961,    -0.27886,    -0.27239
0.2203166940016672,     1.69500,     1.99737,     0.29998,     0.27656,    -0.23540,    -0.26838,    -0.27793,    -0.27115
0.24044932299875654,     1.69069,     1.99706,     0.29536,     0.26855,    -0.23355,    -0.26807,    -0.27886,    -0.27269
0.26037752900083433,     1.69284,     1.99798,     0.29998,     0.27409,    -0.23540,    -0.26869,    -0.27732,    -0.27239
0.2803278819992556,     1.69500,     1.99675,     0.30153,     0.27625,    -0.23540,    -0.26807,    -0.27732,    -0.27115
0.3004017519997433,     1.68976,     1.99798,     0.29752,     0.27070,    -0.23324,    -0.26900,    -0.27824,    -0.27269
0.32033466099892394,     1.69315,     1.99706,     0.30245,     0.27810,    -0.23571,    -0.26838,    -0.27732,    -0.27146
0.34053564200075925,     1.69377,     1.99737,     0.29752,     0.27070,    -0.23355,    -0.26838,    -0.27732,    -0.27208
0.3603416260011727,     1.69346,     1.99737,     0.30368,     0.27995,    -0.23602,    -0.26776,    -0.27824,    -0.27023
0.38038716400114936,     1.68914,     1.99675,     0.29598,     0.26978,    -0.23232,    -0.26900,    -0.27639,    -0.27177
0.4003277209994849,     1.69593,     1.99737,     0.30307,     0.27964,    -0.23509,    -0.26807,    -0.27670,    -0.27023
0.42034561000036774,     1.68545,     1.99675,     0.29814,     0.27348,    -0.23386,    -0.26684,    -0.27608,    -0.27115
0.4405504060014209,     1.69315,     1.99706,     0.29598,     0.27163,    -0.23293,    -0.26776,    -0.27763,    -0.27208
0.46034518600208685,     1.69315,     1.99675,     0.30430,     0.27964,    -0.23447,    -0.26745,    -0.27793,    -0.26992
0.480382316000032,     1.69038,     1.99675,     0.29659,     0.27163,    -0.23293,    -0.26715,    -0.27578,    -0.27115
0.500459150000097,     1.69315,     1.99706,     0.30368,     0.27872,    -0.23417,    -0.26745,    -0.27639,    -0.26992
0.5205625019989384,     1.69161,     1.99768,     0.29690,     0.27040,    -0.23262,    -0.26745,    -0.27670,    -0.27054
0.5403402270021616,     1.69377,     1.99829,     0.30553,     0.28118,    -0.23355,    -0.26653,    -0.27608,    -0.26869
0.5606618179990619,     1.68976,     1.99737,     0.29320,     0.26731,    -0.23139,    -0.26684,    -0.27732,    -0.27084
0.580368710001494,     1.69408,     1.99675,     0.30461,     0.28087,    -0.23355,    -0.26684,    -0.27701,    -0.26930
0.6004014889986138,     1.68853,     1.99798,     0.29382,     0.26978,    -0.23170,    -0.26653,    -0.27578,    -0.27084
0.6203677679986868,     1.69284,     1.99768,     0.30677,     0.28180,    -0.23417,    -0.26684,    -0.27732,    -0.26838
0.6404929339987575,     1.69007,     1.99737,     0.29567,     0.26855,    -0.23016,    -0.26715,    -0.27578,    -0.27054
0.6604927129992575,     1.68976,     1.99675,     0.30492,     0.28180,    -0.23355,    -0.26653,    -0.27485,    -0.26930
0.6805502509996586,     1.69069,     1.99706,     0.29629,     0.27255,    -0.23047,    -0.26622,    -0.27608,    -0.27023
0.7004032520017063,     1.69007,     1.99798,     0.30461,     0.27841,    -0.23170,    -0.26653,    -0.27547,    -0.27054
0.7204446790019574,     1.69099,     1.99737,     0.30214,     0.27656,    -0.23078,    -0.26622,    -0.27516,    -0.27023
0.7405866980006977,     1.68914,     1.99737,     0.30153,     0.27533,    -0.23108,    -0.26653,    -0.27608,    -0.26992
0.7603963660003501,     1.68976,     1.99675,     0.30399,     0.27779,    -0.23108,    -0.26622,    -0.27516,    -0.26930
0.7804261259989289,     1.69223,     1.99798,     0.30153,     0.27810,    -0.23047,    -0.26530,    -0.27639,    -0.26930
0.8003988130003563,     1.69192,     1.99644,     0.30337,     0.28180,    -0.23078,    -0.26468,    -0.27485,    -0.26930
0.8204317390009237,     1.69161,     1.99644,     0.29844,     0.27440,    -0.22923,    -0.26591,    -0.27393,    -0.26900
0.8403906480016303,     1.69346,     1.99706,     0.30399,     0.28087,    -0.23170,    -0.26560,    -0.27516,    -0.26745
0.8606930909991206,     1.68884,     1.99798,     0.29351,     0.27194,    -0.22862,    -0.26499,    -0.27516,    -0.26807
0.8804266500010272,     1.69130,     1.99706,     0.30430,     0.28149,    -0.23139,    -0.26406,    -0.27423,    -0.26653
0.9004465389989491,     1.68699,     1.99675,     0.29690,     0.27101,    -0.22862,    -0.26345,    -0.27362,    -0.26807
0.9204042439996556,     1.69192,     1.99675,     0.30553,     0.28180,    -0.23139,    -0.26376,    -0.27362,    -0.26684
0.940593817998888,     1.69069,     1.99706,     0.29598,     0.27009,    -0.22708,    -0.26406,    -0.27454,    -0.26776
0.9606382999991183,     1.68791,     1.99644,     0.30399,     0.28118,    -0.23108,    -0.26406,    -0.27393,    -0.26776
0.9804734690005716,     1.69284,     1.99706,     0.29844,     0.27348,    -0.22893,    -0.26468,    -0.27485,    -0.26869
1.0004902100008621,     1.69161,     1.99737,     0.30337,     0.28057,    -0.22954,    -0.26437,    -0.27547,    -0.26776
1.0204443780021393,     1.69130,     1.99768,     0.30029,     0.27687,    -0.22831,    -0.26499,    -0.27393,    -0.26684
1.0405534339988662,     1.69038,     1.99768,     0.30307,     0.27964,    -0.23016,    -0.26437,    -0.27423,    -0.26838
1.0604319170015515,     1.69223,     1.99675,     0.30214,     0.27718,    -0.22862,    -0.26406,    -0.27547,    -0.26745
1.0805451950000133,     1.68914,     1.99737,     0.30029,     0.27779,    -0.22954,    -0.26376,    -0.27547,    -0.26807
1.1004361970008176,     1.69438,     1.99706,     0.30153,     0.27964,    -0.22893,    -0.26345,    -0.27393,    -0.26653
1.120471586000349,     1.69500,     1.99798,     0.29659,     0.27502,    -0.22800,    -0.26376,    -0.27393,    -0.26653
1.1404409579990897,     1.69038,     1.99737,     0.30029,     0.27995,    -0.22831,    -0.26314,    -0.27362,    -0.26807
1.160604698001407,     1.69007,     1.99706,     0.29875,     0.27625,    -0.22893,    -0.26406,    -0.27423,    -0.26715
1.180426107999665,     1.69315,     1.99675,     0.30399,     0.28087,    -0.22923,    -0.26376,    -0.27516,    -0.26684
1.2004745340018417,     1.68945,     1.99675,     0.29783,     0.27471,    -0.22738,    -0.26314,    -0.27393,    -0.26653
1.2204334800007928,     1.69500,     1.99675,     0.30245,     0.28087,    -0.22862,    -0.26314,    -0.27516,    -0.26622
1.2407449599995743,     1.69223,     1.99583,     0.29290,     0.27009,    -0.22738,    -0.26221,    -0.27485,    -0.26622
