     Date/Time     ,   Chan 0
2022 January 21 08:08:06.402390,     3.79492
2022 January 21 08:08:06.423863,     3.94534
2022 January 21 08:08:06.445075,     4.07880
2022 January 21 08:08:06.466215,     4.18113
2022 January 21 08:08:06.487401,     4.25418
2022 January 21 08:08:06.508665,     4.30719
2022 January 21 08:08:06.529739,     4.31089
2022 January 21 08:08:06.550880,     4.32198
2022 January 21 08:08:06.572054,     4.32353
2022 January 21 08:08:06.593254,     4.32229
2022 January 21 08:08:06.614597,     4.33801
2022 January 21 08:08:06.635672,     4.33678
2022 January 21 08:08:06.657083,     4.34788
2022 January 21 08:08:06.678306,     4.34448
2022 January 21 08:08:06.699393,     4.33647
2022 January 21 08:08:06.720841,     4.31736
2022 January 21 08:08:06.742021,     4.26774
2022 January 21 08:08:06.763093,     4.15154
2022 January 21 08:08:06.784760,     4.03719
2022 January 21 08:08:06.805938,     3.89633
2022 January 21 08:08:06.827089,     3.71294
2022 January 21 08:08:06.848438,     3.47376
2022 January 21 08:08:06.869665,     3.25245
2022 January 21 08:08:06.890833,     2.99940
2022 January 21 08:08:06.912034,     2.71830
2022 January 21 08:08:06.933771,     2.42580
2022 January 21 08:08:06.954834,     2.10802
2022 January 21 08:08:06.976151,     1.76435
2022 January 21 08:08:06.997321,     1.43671
2022 January 21 08:08:07.018434,     1.09397
2022 January 21 08:08:07.039575,     0.77650
2022 January 21 08:08:07.060799,     0.46303
2022 January 21 08:08:07.082011,     0.16961
2022 January 21 08:08:07.103262,     0.00717
2022 January 21 08:08:07.124451,     0.00070
2022 January 21 08:08:07.145823,     0.00070
2022 January 21 08:08:07.167135,    -0.00053
2022 January 21 08:08:07.188238,     0.00039
2022 January 21 08:08:07.209422,     0.00070
2022 January 21 08:08:07.230888,     0.00039
2022 January 21 08:08:07.252160,     0.00039
2022 January 21 08:08:07.273309,     0.00039
2022 January 21 08:08:07.294357,     0.00039
2022 January 21 08:08:07.315745,     0.00070
2022 January 21 08:08:07.336909,     0.00008
2022 January 21 08:08:07.358125,    -0.00053
2022 January 21 08:08:07.379439,     0.00070
2022 January 21 08:08:07.400727,     0.00070
2022 January 21 08:08:07.421892,     0.00039
2022 January 21 08:08:07.443176,     0.00070
2022 January 21 08:08:07.464313,     0.00070
2022 January 21 08:08:07.485462,     0.00070
2022 January 21 08:08:07.506668,     0.03399
2022 January 21 08:08:07.528456,     0.14772
2022 January 21 08:08:07.549580,     0.34899
2022 January 21 08:08:07.570754,     0.59064
2022 January 21 08:08:07.591830,     0.83907
2022 January 21 08:08:07.613291,     1.10784
2022 January 21 08:08:07.634466,     1.37476
2022 January 21 08:08:07.655547,     1.63058
2022 January 21 08:08:07.677041,     1.87809
2022 January 21 08:08:07.698233,     2.14162
2022 January 21 08:08:07.719302,     2.40022
2022 January 21 08:08:07.740586,     2.64710
2022 January 21 08:08:07.762321,     2.89491
2022 January 21 08:08:07.783386,     3.12022
2022 January 21 08:08:07.804694,     3.36064
2022 January 21 08:08:07.825812,     3.57146
2022 January 21 08:08:07.846895,     3.80201
2022 January 21 08:08:07.868129,     4.02886
2022 January 21 08:08:07.889178,     4.23722
2022 January 21 08:08:07.910580,     4.45298
2022 January 21 08:08:07.931762,     4.65641
2022 January 21 08:08:07.952974,     4.81822
2022 January 21 08:08:07.974328,     4.94922
2022 January 21 08:08:07.995633,     5.01549
2022 January 21 08:08:08.016716,     5.04877
2022 January 21 08:08:08.037923,     5.05309
2022 January 21 08:08:08.059350,     5.05216
2022 January 21 08:08:08.080652,     5.03860
2022 January 21 08:08:08.101798,     4.99915
2022 January 21 08:08:08.123015,     4.85521
2022 January 21 08:08:08.144225,     4.66596
2022 January 21 08:08:08.165573,     4.43264
2022 January 21 08:08:08.186646,     4.20825
2022 January 21 08:08:08.207878,     3.97246
2022 January 21 08:08:08.229208,     3.72619
2022 January 21 08:08:08.250281,     3.43893
2022 January 21 08:08:08.271482,     3.12855
2022 January 21 08:08:08.292829,     2.82156
2022 January 21 08:08:08.313911,     2.47943
2022 January 21 08:08:08.335511,     2.11449
2022 January 21 08:08:08.356895,     1.74247
2022 January 21 08:08:08.377997,     1.41575
2022 January 21 08:08:08.399451,     1.09982
2022 January 21 08:08:08.420745,     0.83013
2022 January 21 08:08:08.441915,     0.58941
2022 January 21 08:08:08.463129,     0.38413
2022 January 21 08:08:08.484338,     0.20998
2022 January 21 08:08:08.505377,     0.10981
2022 January 21 08:08:08.526724,     0.04354
2022 January 21 08:08:08.548173,     0.00070
2022 January 21 08:08:08.569635,     0.00101
2022 January 21 08:08:08.590987,     0.00039
2022 January 21 08:08:08.612059,     0.00008
2022 January 21 08:08:08.633361,     0.00039
2022 January 21 08:08:08.654535,     0.00070
2022 January 21 08:08:08.675611,     0.00039
2022 January 21 08:08:08.696952,     0.00039
2022 January 21 08:08:08.718121,     0.00070
2022 January 21 08:08:08.739297,     0.00101
2022 January 21 08:08:08.760459,     0.00039
2022 January 21 08:08:08.781519,     0.00070
2022 January 21 08:08:08.802926,     0.00070
2022 January 21 08:08:08.824104,     0.00039
2022 January 21 08:08:08.845152,     0.00039
2022 January 21 08:08:08.866616,     0.00039
2022 January 21 08:08:08.887786,     0.00101
2022 January 21 08:08:08.908922,     0.00039
2022 January 21 08:08:08.930191,     0.00008
2022 January 21 08:08:08.951888,     0.00070
2022 January 21 08:08:08.972941,    -0.00022
2022 January 21 08:08:08.994208,     0.00039
2022 January 21 08:08:09.015592,     0.00070
2022 January 21 08:08:09.036725,     0.00070
2022 January 21 08:08:09.058163,     0.02659
2022 January 21 08:08:09.079315,     0.09995
2022 January 21 08:08:09.100692,     0.21245
2022 January 21 08:08:09.121848,     0.37920
2022 January 21 08:08:09.143031,     0.55304
2022 January 21 08:08:09.164260,     0.72009
2022 January 21 08:08:09.185909,     0.90441
2022 January 21 08:08:09.207136,     1.08934
2022 January 21 08:08:09.228346,     1.27335
2022 January 21 08:08:09.249421,     1.46538
2022 January 21 08:08:09.270903,     1.67004
2022 January 21 08:08:09.292076,     1.87038
2022 January 21 08:08:09.313154,     2.06733
2022 January 21 08:08:09.334362,     2.26768
2022 January 21 08:08:09.355710,     2.47203
2022 January 21 08:08:09.376804,     2.66652
2022 January 21 08:08:09.398043,     2.87549
2022 January 21 08:08:09.419820,     3.09310
2022 January 21 08:08:09.440889,     3.29684
2022 January 21 08:08:09.462043,     3.52954
2022 January 21 08:08:09.483103,     3.75424
2022 January 21 08:08:09.504546,     3.98756
2022 January 21 08:08:09.525718,     4.23352
2022 January 21 08:08:09.546861,     4.46161
2022 January 21 08:08:09.568111,     4.71620
2022 January 21 08:08:09.589344,     4.93966
2022 January 21 08:08:09.610420,     5.07651
2022 January 21 08:08:09.631918,     5.13723
2022 January 21 08:08:09.653319,     5.14710
2022 January 21 08:08:09.674380,     5.13508
2022 January 21 08:08:09.695538,     5.14833
2022 January 21 08:08:09.716609,     5.12984
2022 January 21 08:08:09.738069,     5.13508
2022 January 21 08:08:09.764079,     5.13569
2022 January 21 08:08:09.785834,     5.13261
2022 January 21 08:08:09.806900,     5.13107
2022 January 21 08:08:09.828322,     5.15141
2022 January 21 08:08:09.849393,     5.14494
2022 January 21 08:08:09.870878,     5.14062
2022 January 21 08:08:09.892032,     5.12830
2022 January 21 08:08:09.913940,     5.14217
2022 January 21 08:08:09.935622,     5.14093
2022 January 21 08:08:09.957059,     5.13723
2022 January 21 08:08:09.978746,     5.03799
2022 January 21 08:08:09.999970,     4.84504
2022 January 21 08:08:10.021287,     4.58089
2022 January 21 08:08:10.042931,     4.30072
2022 January 21 08:08:10.064207,     4.00791
2022 January 21 08:08:10.085486,     3.73513
2022 January 21 08:08:10.106883,     3.42382
2022 January 21 08:08:10.128375,     3.08601
2022 January 21 08:08:10.149669,     2.71584
2022 January 21 08:08:10.170955,     2.30652
2022 January 21 08:08:10.192245,     1.86668
2022 January 21 08:08:10.213537,     1.43424
2022 January 21 08:08:10.234846,     1.02986
2022 January 21 08:08:10.256340,     0.65660
2022 January 21 08:08:10.277872,     0.27748
2022 January 21 08:08:10.299238,     0.05803
2022 January 21 08:08:10.320556,     0.00132
2022 January 21 08:08:10.341883,    -0.00022
2022 January 21 08:08:10.363203,     0.00070
2022 January 21 08:08:10.384727,     0.00070
2022 January 21 08:08:10.406107,     0.00070
2022 January 21 08:08:10.427358,     0.00039
2022 January 21 08:08:10.448700,     0.00008
2022 January 21 08:08:10.469913,     0.00039
2022 January 21 08:08:10.491342,     0.00101
2022 January 21 08:08:10.512768,     0.00101
2022 January 21 08:08:10.533997,     0.00070
2022 January 21 08:08:10.555357,     0.00008
2022 January 21 08:08:10.576787,     0.00070
2022 January 21 08:08:10.598036,     0.00070
2022 January 21 08:08:10.619333,     0.00070
2022 January 21 08:08:10.640910,     0.00008
2022 January 21 08:08:10.662181,     0.00039
2022 January 21 08:08:10.683597,     0.00070
2022 January 21 08:08:10.704799,     0.00039
2022 January 21 08:08:10.726028,     0.00039
2022 January 21 08:08:10.747284,     0.00070
2022 January 21 08:08:10.768594,     0.00008
2022 January 21 08:08:10.789877,     0.00070
2022 January 21 08:08:10.811330,     0.00039
2022 January 21 08:08:10.832671,     0.00039
2022 January 21 08:08:10.853963,     0.00871
2022 January 21 08:08:10.875234,     0.12584
2022 January 21 08:08:10.896658,     0.33111
2022 January 21 08:08:10.918295,     0.56721
2022 January 21 08:08:10.939491,     0.79283
2022 January 21 08:08:10.960790,     1.02677
2022 January 21 08:08:10.982453,     1.27058
2022 January 21 08:08:11.003800,     1.52856
2022 January 21 08:08:11.028544,     1.82291
2022 January 21 08:08:11.049767,     2.06271
2022 January 21 08:08:11.071033,     2.28062
2022 January 21 08:08:11.092361,     2.49576
2022 January 21 08:08:11.113808,     2.69149
2022 January 21 08:08:11.135071,     2.86810
2022 January 21 08:08:11.156498,     3.01759
2022 January 21 08:08:11.178168,     3.13748
2022 January 21 08:08:11.199484,     3.23457
2022 January 21 08:08:11.220735,     3.25399
2022 January 21 08:08:11.242034,     3.24567
2022 January 21 08:08:11.263361,     3.25584
2022 January 21 08:08:11.285017,     3.24844
2022 January 21 08:08:11.306289,     3.17879
2022 January 21 08:08:11.327518,     3.06567
2022 January 21 08:08:11.348944,     2.88228
2022 January 21 08:08:11.370307,     2.67053
2022 January 21 08:08:11.391734,     2.46032
2022 January 21 08:08:11.413047,     2.24672
2022 January 21 08:08:11.434461,     2.06055
2022 January 21 08:08:11.455967,     1.88548
2022 January 21 08:08:11.477214,     1.76558
2022 January 21 08:08:11.498533,     1.63212
2022 January 21 08:08:11.519827,     1.50236
2022 January 21 08:08:11.541062,     1.38986
2022 January 21 08:08:11.562577,     1.28784
2022 January 21 08:08:11.583759,     1.22496
2022 January 21 08:08:11.604999,     1.18705
2022 January 21 08:08:11.626303,     1.17410
2022 January 21 08:08:11.647579,     1.17226
2022 January 21 08:08:11.669106,     1.16979
2022 January 21 08:08:11.690474,     1.17380
2022 January 21 08:08:11.711923,     1.17380
2022 January 21 08:08:11.733176,     1.17164
2022 January 21 08:08:11.756191,     1.17041
2022 January 21 08:08:11.778810,     1.17380
2022 January 21 08:08:11.800837,     1.17195
2022 January 21 08:08:11.822778,     1.16856
2022 January 21 08:08:11.845866,     1.17256
2022 January 21 08:08:11.868925,     1.17318
2022 January 21 08:08:11.890967,     1.17287
2022 January 21 08:08:11.913629,     1.17195
2022 January 21 08:08:11.936243,     1.17256
2022 January 21 08:08:11.958497,     1.17164
2022 January 21 08:08:11.981440,     1.17133
2022 January 21 08:08:12.004377,     1.17349
2022 January 21 08:08:12.026438,     1.17041
2022 January 21 08:08:12.049041,     1.17226
2022 January 21 08:08:12.072111,     1.17472
2022 January 21 08:08:12.094121,     1.17349
2022 January 21 08:08:12.116583,     1.17226
2022 January 21 08:08:12.139015,     1.18027
2022 January 21 08:08:12.161478,     1.19691
2022 January 21 08:08:12.183847,     1.22589
2022 January 21 08:08:12.205983,     1.24161
2022 January 21 08:08:12.229115,     1.25517
2022 January 21 08:08:12.251628,     1.26965
2022 January 21 08:08:12.273673,     1.27181
2022 January 21 08:08:12.296316,     1.27582
2022 January 21 08:08:12.319126,     1.27798
2022 January 21 08:08:12.341113,     1.27674
2022 January 21 08:08:12.363394,     1.27520
2022 January 21 08:08:12.385618,     1.27798
2022 January 21 08:08:12.408055,     1.27828
2022 January 21 08:08:12.430806,     1.27551
2022 January 21 08:08:12.453607,     1.27952
2022 January 21 08:08:12.475709,     1.27767
2022 January 21 08:08:12.498714,     1.27366
2022 January 21 08:08:12.521585,     1.27798
2022 January 21 08:08:12.543679,     1.27705
2022 January 21 08:08:12.566132,     1.27489
2022 January 21 08:08:12.588526,     1.27798
2022 January 21 08:08:12.610789,     1.27520
2022 January 21 08:08:12.633169,     1.27643
2022 January 21 08:08:12.655198,     1.27828
2022 January 21 08:08:12.677817,     1.27520
2022 January 21 08:08:12.700127,     1.27705
2022 January 21 08:08:12.722526,     1.27243
2022 January 21 08:08:12.745478,     1.27736
2022 January 21 08:08:12.767777,     1.27736
2022 January 21 08:08:12.790244,     1.27798
2022 January 21 08:08:12.812877,     1.27582
2022 January 21 08:08:12.835905,     1.27767
2022 January 21 08:08:12.858034,     1.27674
2022 January 21 08:08:12.880446,     1.27520
2022 January 21 08:08:12.902462,     1.27767
2022 January 21 08:08:12.924933,     1.27643
2022 January 21 08:08:12.947038,     1.27798
2022 January 21 08:08:12.969471,     1.27428
2022 January 21 08:08:12.992165,     1.27119
2022 January 21 08:08:13.015028,     1.27674
2022 January 21 08:08:13.037045,     1.27736
2022 January 21 08:08:13.059436,     1.27674
2022 January 21 08:08:13.081466,     1.27643
2022 January 21 08:08:13.104029,     1.27613
2022 January 21 08:08:13.126816,     1.27181
2022 January 21 08:08:13.149531,     1.27952
2022 January 21 08:08:13.172005,     1.27859
2022 January 21 08:08:13.194159,     1.27643
2022 January 21 08:08:13.216752,     1.27705
2022 January 21 08:08:13.238822,     1.27335
2022 January 21 08:08:13.261205,     1.27212
2022 January 21 08:08:13.283503,     1.27828
2022 January 21 08:08:13.305688,     1.27551
2022 January 21 08:08:13.328170,     1.27613
2022 January 21 08:08:13.350401,     1.27767
2022 January 21 08:08:13.372500,     1.27520
2022 January 21 08:08:13.394805,     1.27304
2022 January 21 08:08:13.417379,     1.27674
2022 January 21 08:08:13.440142,     1.27428
2022 January 21 08:08:13.462531,     1.27890
2022 January 21 08:08:13.484669,     1.27828
2022 January 21 08:08:13.507695,     1.27520
2022 January 21 08:08:13.530206,     1.27674
2022 January 21 08:08:13.552169,     1.27643
2022 January 21 08:08:13.574861,     1.27366
2022 January 21 08:08:13.597303,     1.27736
2022 January 21 08:08:13.619779,     1.26996
2022 January 21 08:08:13.642215,     1.27520
2022 January 21 08:08:13.664385,     1.27489
2022 January 21 08:08:13.687333,     1.27674
2022 January 21 08:08:13.709731,     1.27674
2022 January 21 08:08:13.731788,     1.27366
2022 January 21 08:08:13.754705,     1.27489
2022 January 21 08:08:13.776899,     1.27643
2022 January 21 08:08:13.799521,     1.27674
2022 January 21 08:08:13.822280,     1.27551
2022 January 21 08:08:13.845258,     1.27643
2022 January 21 08:08:13.867224,     1.27489
2022 January 21 08:08:13.889708,     1.27428
2022 January 21 08:08:13.911965,     1.27643
2022 January 21 08:08:13.934292,     1.27520
2022 January 21 08:08:13.957008,     1.27613
2022 January 21 08:08:13.979970,     1.27582
2022 January 21 08:08:14.001676,     1.27674
2022 January 21 08:08:14.024064,     1.27520
2022 January 21 08:08:14.046090,     1.27551
2022 January 21 08:08:14.068596,     1.27705
2022 January 21 08:08:14.091359,     1.27582
2022 January 21 08:08:14.114130,     1.27613
2022 January 21 08:08:14.135889,     1.27397
2022 January 21 08:08:14.158354,     1.27489
2022 January 21 08:08:14.180409,     1.27736
2022 January 21 08:08:14.202838,     1.27551
2022 January 21 08:08:14.224651,     1.27798
2022 January 21 08:08:14.246918,     1.27366
2022 January 21 08:08:14.269366,     1.27335
2022 January 21 08:08:14.291355,     1.27551
2022 January 21 08:08:14.313721,     1.27366
2022 January 21 08:08:14.335900,     1.27767
2022 January 21 08:08:14.357938,     1.27489
2022 January 21 08:08:14.380374,     1.27428
2022 January 21 08:08:14.402395,     1.27643
2022 January 21 08:08:14.424800,     1.27520
2022 January 21 08:08:14.447075,     1.27643
2022 January 21 08:08:14.469231,     1.27551
2022 January 21 08:08:14.491648,     1.27613
2022 January 21 08:08:14.513950,     1.27705
2022 January 21 08:08:14.535919,     1.27428
2022 January 21 08:08:14.558479,     1.27459
2022 January 21 08:08:14.581036,     1.27397
2022 January 21 08:08:14.603446,     1.27643
2022 January 21 08:08:14.625822,     1.27551
2022 January 21 08:08:14.647948,     1.27828
2022 January 21 08:08:14.670433,     1.27459
2022 January 21 08:08:14.692509,     1.27551
2022 January 21 08:08:14.714569,     1.27181
2022 January 21 08:08:14.736956,     1.27489
2022 January 21 08:08:14.759044,     1.27705
2022 January 21 08:08:14.781360,     1.27859
2022 January 21 08:08:14.803758,     1.27613
2022 January 21 08:08:14.825885,     1.27705
2022 January 21 08:08:14.848732,     1.27705
2022 January 21 08:08:14.871575,     1.27674
2022 January 21 08:08:14.893231,     1.27613
2022 January 21 08:08:14.915638,     1.27459
2022 January 21 08:08:14.937487,     1.27921
2022 January 21 08:08:14.959795,     1.27828
2022 January 21 08:08:14.981179,     1.27551
2022 January 21 08:08:15.003291,     1.27643
2022 January 21 08:08:15.024805,     1.27613
2022 January 21 08:08:15.046969,     1.27582
2022 January 21 08:08:15.069487,     1.27736
2022 January 21 08:08:15.091669,     1.27520
2022 January 21 08:08:15.113071,     1.27582
2022 January 21 08:08:15.136063,     1.27828
