     Date/Time     ,   Chan 0
2022 January 21 08:02:33.965659,     1.97024
2022 January 21 08:02:34.067616,     1.96223
2022 January 21 08:02:34.168642,     1.96254
2022 January 21 08:02:34.269600,     1.96100
2022 January 21 08:02:34.370555,     1.96377
2022 January 21 08:02:34.471507,     1.95391
2022 January 21 08:02:34.572451,     1.96285
2022 January 21 08:02:34.673403,     1.95668
2022 January 21 08:02:34.774484,     1.96716
2022 January 21 08:02:34.876033,     1.96500
2022 January 21 08:02:34.977539,     1.96439
2022 January 21 08:02:35.079021,     1.96285
2022 January 21 08:02:35.180306,     1.96747
2022 January 21 08:02:35.281785,     1.96285
2022 January 21 08:02:35.383080,     1.96624
2022 January 21 08:02:35.484596,     1.96716
2022 January 21 08:02:35.586044,     1.96500
2022 January 21 08:02:35.687328,     1.96839
2022 January 21 08:02:35.788920,     1.97024
2022 January 21 08:02:35.890460,     2.18415
2022 January 21 08:02:35.991988,     3.23026
2022 January 21 08:02:36.093449,     4.24493
2022 January 21 08:02:36.194818,     4.58305
2022 January 21 08:02:36.296270,     4.59045
2022 January 21 08:02:36.397540,     4.58921
2022 January 21 08:02:36.499096,     4.59291
2022 January 21 08:02:36.600615,     4.39195
2022 January 21 08:02:36.702062,     2.91433
2022 January 21 08:02:36.803349,     2.06456
2022 January 21 08:02:36.904786,     1.45243
2022 January 21 08:02:37.006141,     0.00070
2022 January 21 08:02:37.107647,     0.00101
2022 January 21 08:02:37.209170,     0.00039
2022 January 21 08:02:37.310611,     0.00008
2022 January 21 08:02:37.411943,     0.00039
2022 January 21 08:02:37.513293,     0.00039
2022 January 21 08:02:37.614820,     0.37180
2022 January 21 08:02:37.716241,     1.78038
2022 January 21 08:02:37.817468,     2.97320
2022 January 21 08:02:37.919048,     4.19531
2022 January 21 08:02:38.020570,     5.10672
2022 January 21 08:02:38.122097,     5.14925
2022 January 21 08:02:38.223632,     5.15265
2022 January 21 08:02:38.325081,     5.14247
2022 January 21 08:02:38.426372,     5.15357
2022 January 21 08:02:38.527914,     5.13785
2022 January 21 08:02:38.629545,     5.13908
2022 January 21 08:02:38.731075,     4.46130
2022 January 21 08:02:38.832384,     2.98522
2022 January 21 08:02:38.933902,     1.61024
2022 January 21 08:02:39.035354,     1.48849
2022 January 21 08:02:39.136621,     2.47080
2022 January 21 08:02:39.238182,     3.45588
2022 January 21 08:02:39.339698,     4.30565
2022 January 21 08:02:39.441143,     4.74887
2022 January 21 08:02:39.542429,     4.40582
2022 January 21 08:02:39.643955,     3.30423
2022 January 21 08:02:39.745470,     2.30806
2022 January 21 08:02:39.846902,     2.20141
2022 January 21 08:02:39.948232,     2.93806
2022 January 21 08:02:40.049761,     3.55050
2022 January 21 08:02:40.151053,     3.62478
2022 January 21 08:02:40.252565,     3.62448
2022 January 21 08:02:40.354077,     3.62725
2022 January 21 08:02:40.455536,     3.61677
2022 January 21 08:02:40.557047,     3.62509
2022 January 21 08:02:40.658558,     3.60722
2022 January 21 08:02:40.759851,     3.62633
2022 January 21 08:02:40.861388,     3.63157
2022 January 21 08:02:40.962898,     3.62540
2022 January 21 08:02:41.064346,     3.62232
2022 January 21 08:02:41.165633,     3.62787
2022 January 21 08:02:41.267084,     3.61924
2022 January 21 08:02:41.368372,     3.63002
2022 January 21 08:02:41.469911,     3.62109
2022 January 21 08:02:41.571430,     3.62448
2022 January 21 08:02:41.672720,     3.62633
2022 January 21 08:02:41.774146,     3.61985
2022 January 21 08:02:41.875418,     3.62386
2022 January 21 08:02:41.976925,     3.62294
2022 January 21 08:02:42.078494,     3.62694
2022 January 21 08:02:42.179935,     3.62201
2022 January 21 08:02:42.281236,     3.63002
2022 January 21 08:02:42.382748,     3.63064
2022 January 21 08:02:42.484264,     5.02073
2022 January 21 08:02:42.585819,     5.14186
2022 January 21 08:02:42.688153,     5.15542
2022 January 21 08:02:42.789821,     5.15881
2022 January 21 08:02:42.891793,     5.15265
2022 January 21 08:02:42.993713,     5.14833
2022 January 21 08:02:43.095375,     5.15604
