     Date/Time     ,   Chan 0
2022 January 18 15:22:08.624581,     2.70751
2022 January 18 15:22:09.128574,     2.70597
2022 January 18 15:22:09.631777,     2.70474
2022 January 18 15:22:10.134881,     2.70566
2022 January 18 15:22:10.637963,     2.70474
2022 January 18 15:22:11.140936,     2.70135
2022 January 18 15:22:11.642937,     1.36058
2022 January 18 15:22:12.145760,     0.00039
2022 January 18 15:22:12.647496,     3.01759
2022 January 18 15:22:13.149639,     5.14556
2022 January 18 15:22:13.651269,     2.30806
2022 January 18 15:22:14.153328,     2.07812
2022 January 18 15:22:14.654949,     2.07874
2022 January 18 15:22:15.156986,     2.07473
2022 January 18 15:22:15.658598,     2.08120
2022 January 18 15:22:16.160975,     2.07997
