     Date/Time     ,   Chan 0,   Chan 1,   Chan 2,   Chan 3,   Chan 4,   Chan 5,   Chan 6,   Chan 7
0.09763601900067442,     3.00156,     1.42623,     1.21695,     1.06838,     0.40601,     0.33635,     0.28796,     0.27718
0.10163827000087622,     2.99786,     1.42469,     1.33623,     1.29030,     0.59680,     0.51759,     0.47074,     0.46088
0.12130408600023657,     3.00033,     1.42407,     1.32390,     1.29092,     0.63163,     0.56814,     0.51667,     0.50064
0.14109488200028864,     2.99293,     1.42407,     1.34548,     1.31496,     0.69420,     0.62978,     0.59002,     0.57893
0.16139318800014735,     2.99601,     1.42407,     1.32544,     1.29369,     0.67725,     0.62239,     0.57708,     0.56105
0.1810562820000996,     2.99324,     1.42438,     1.34702,     1.31743,     0.70499,     0.64334,     0.60882,     0.60574
0.20134505200076092,     2.99971,     1.42438,     1.32637,     1.29616,     0.67941,     0.62454,     0.58139,     0.57184
0.22112219900009222,     2.99817,     1.42438,     1.34486,     1.31650,     0.70499,     0.64365,     0.61098,     0.61006
0.24149970800044684,     2.97875,     1.42377,     1.32729,     1.29709,     0.68280,     0.62763,     0.58324,     0.57399
0.26142783500017686,     2.99108,     1.42500,     1.34702,     1.31774,     0.70715,     0.64550,     0.61191,     0.61098
0.28131403700081137,     2.98214,     2.86101,     2.53892,     2.29388,     1.12047,     0.97653,     0.85140,     0.78112
0.301517770000828,     2.98461,     2.86008,     2.65388,     2.49823,     1.34270,     1.20308,     1.09088,     1.02400
0.321074533000683,     2.98985,     2.89091,     2.66929,     2.51734,     1.41082,     1.28722,     1.17041,     1.10106
0.3415335590007089,     2.98985,     2.89029,     2.69025,     2.54416,     1.47431,     1.35257,     1.25301,     1.19599
0.36103747000015574,     2.98954,     3.03269,     2.79227,     2.62429,     1.51407,     1.39387,     1.27890,     1.20369
0.38142473800053267,     2.96827,     3.03269,     2.82001,     2.66282,     1.56586,     1.43948,     1.33654,     1.27798
0.4014117350006927,     2.97628,     3.15906,     2.90940,     2.73248,     1.59545,     1.47277,     1.35226,     1.27243
0.4210342740007036,     2.98183,     3.15968,     2.93868,     2.77039,     1.63983,     1.51130,     1.40342,     1.33623
0.44189397800073493,     2.98584,     3.26940,     3.01327,     2.82803,     1.66079,     1.53349,     1.40866,     1.32575
0.46161329400001705,     2.98183,     3.26940,     3.03947,     2.86471,     1.70271,     1.56955,     1.45859,     1.38832
0.4814672740003516,     2.97967,     3.35663,     3.09495,     2.90570,     1.71596,     1.58558,     1.45890,     1.37414
0.5015563980005027,     2.98800,     3.35725,     3.12022,     2.93745,     1.75911,     1.62257,     1.50699,     1.43640
0.5217346320005163,     2.97228,     3.42629,     3.15968,     2.96611,     1.76343,     1.63274,     1.50267,     1.41267
0.5411923600004229,     2.98645,     3.42536,     3.18341,     2.99570,     1.79579,     1.65863,     1.54243,     1.46568
0.5615742390000378,     2.98985,     3.47006,     3.20159,     3.00618,     1.79209,     1.66017,     1.52979,     1.43948
0.5812786280002911,     2.98029,     3.46975,     3.22348,     3.03361,     1.82353,     1.68545,     1.56709,     1.49096
0.601345272000799,     2.98584,     3.49225,     3.22440,     3.02899,     1.81151,     1.68021,     1.54890,     1.45798
0.621559635000267,     2.98306,     3.49194,     3.24382,     3.05087,     1.84264,     1.70486,     1.58589,     1.50390
0.6414748170000166,     2.98584,     3.49102,     3.22502,     3.03084,     1.82353,     1.69438,     1.56339,     1.47031
0.6611248010003692,     2.97443,     3.49102,     3.24475,     3.05211,     1.84757,     1.71041,     1.59051,     1.50945
0.6815836410005431,     2.98830,     3.46482,     3.20190,     3.01235,     1.81582,     1.68822,     1.56000,     1.47000
0.7012555320006868,     2.99046,     3.46513,     3.22132,     3.03207,     1.83740,     1.70240,     1.58466,     1.50329
0.721076864000679,     2.98645,     3.41581,     3.15937,     2.97567,     1.79240,     1.66664,     1.54212,     1.45767
0.7415515750008126,     2.98830,     3.41766,     3.17755,     2.99169,     1.81028,     1.67651,     1.56247,     1.48541
0.7615859410007033,     2.99046,     3.35047,     3.10019,     2.92142,     1.75973,     1.63613,     1.51377,     1.43363
0.7814559390008071,     2.99108,     3.34800,     3.11437,     2.93498,     1.78747,     1.65771,     1.54336,     1.46168
0.8015210080002362,     2.99478,     3.25368,     3.01604,     2.84868,     1.73507,     1.61887,     1.49959,     1.41267
0.8218219440004759,     2.98491,     3.25492,     3.02807,     2.85546,     1.73291,     1.60747,     1.50113,     1.43055
0.8411381740006618,     2.98800,     3.14519,     2.91772,     2.76022,     1.66788,     1.55353,     1.44164,     1.36952
0.8614377210005841,     2.98522,     3.14581,     2.92882,     2.76700,     1.67527,     1.55199,     1.44966,     1.38863
0.8819245050008249,     2.97505,     3.01481,     2.79875,     2.65296,     1.60531,     1.50020,     1.39479,     1.32174
0.9011370140005965,     2.98707,     3.01420,     2.80799,     2.65573,     1.61301,     1.49743,     1.39972,     1.33500
0.9214387460006037,     2.98861,     2.86779,     2.66344,     2.53029,     1.52825,     1.42716,     1.32729,     1.26595
