     Date/Time     ,   Chan 0
2022 January 21 08:01:11.347660,     4.11548
2022 January 21 08:01:11.849748,     4.10315
2022 January 21 08:01:12.351300,     4.11548
2022 January 21 08:01:12.853484,     4.10407
2022 January 21 08:01:13.355672,     4.11671
2022 January 21 08:01:13.857749,     4.10469
2022 January 21 08:01:14.359989,     4.09390
2022 January 21 08:01:14.862151,     4.11486
2022 January 21 08:01:15.364289,     3.25430
2022 January 21 08:01:15.866440,     3.11745
2022 January 21 08:01:16.368572,     4.88295
2022 January 21 08:01:16.870702,     5.15419
2022 January 21 08:01:17.372836,     4.41291
2022 January 21 08:01:17.874970,     0.87328
2022 January 21 08:01:18.377124,     0.00101
2022 January 21 08:01:18.879369,     0.00070
2022 January 21 08:01:19.381529,    -0.00022
2022 January 21 08:01:19.883683,     0.00070
2022 January 21 08:01:20.385831,     0.00039
2022 January 21 08:01:20.887913,     0.00039
2022 January 21 08:01:21.390087,     0.00101
2022 January 21 08:01:21.892220,     0.69081
2022 January 21 08:01:22.394360,     4.95415
2022 January 21 08:01:22.896532,     2.18076
2022 January 21 08:01:23.398694,     0.00008
2022 January 21 08:01:23.900834,     5.15388
2022 January 21 08:01:24.402967,     2.30343
2022 January 21 08:01:24.904885,     1.31280
2022 January 21 08:01:25.406387,     2.47080
2022 January 21 08:01:25.908305,     2.47172
2022 January 21 08:01:26.409824,     2.47203
2022 January 21 08:01:26.911745,     2.46802
2022 January 21 08:01:27.413256,     2.47234
2022 January 21 08:01:27.915373,     2.47388
2022 January 21 08:01:28.417503,     2.47481
2022 January 21 08:01:28.919710,     2.46525
2022 January 21 08:01:29.421824,     2.46957
2022 January 21 08:01:29.924091,     3.33814
2022 January 21 08:01:30.426230,     5.16189
2022 January 21 08:01:30.928345,     5.15080
2022 January 21 08:01:31.430497,     1.27089
2022 January 21 08:01:31.932629,     1.87593
2022 January 21 08:01:32.434754,     1.96562
2022 January 21 08:01:32.936874,     1.96593
2022 January 21 08:01:33.439088,     1.96500
2022 January 21 08:01:33.941137,     1.96655
2022 January 21 08:01:34.443118,     1.96624
2022 January 21 08:01:34.945245,     1.96254
2022 January 21 08:01:35.447361,     1.96839
2022 January 21 08:01:35.949695,     1.95884
2022 January 21 08:01:36.451925,     1.96685
2022 January 21 08:01:36.954525,     1.95853
