     Date/Time     ,   Chan 0,   Chan 1,   Chan 2,   Chan 3,   Chan 4,   Chan 5,   Chan 6,   Chan 7
0.0007282520000444492,     0.09625,     2.00384,    -0.31739,    -0.28749,    -0.24495,    -0.25512,    -0.29735,    -0.29242
0.010712646999309072,     0.09656,     2.09754,    -0.20766,    -0.22338,    -0.17745,    -0.22060,    -0.19903,    -0.21074
0.02074498599904473,     0.09594,     2.19309,    -0.30413,    -0.27670,    -0.30444,    -0.27793,    -0.34513,    -0.32694
0.030710955999893486,     0.09656,     2.28402,    -0.20334,    -0.21968,    -0.19348,    -0.22954,    -0.21444,    -0.22338
0.04071281399956206,     0.09656,     2.37679,    -0.30321,    -0.27701,    -0.31523,    -0.28071,    -0.35098,    -0.33680
0.05070287600028678,     0.09563,     2.46556,    -0.20273,    -0.21875,    -0.19225,    -0.22646,    -0.21567,    -0.22215
0.06071130899908894,     0.09625,     2.55648,    -0.30228,    -0.27639,    -0.31677,    -0.27793,    -0.35252,    -0.33773
0.07071129599898995,     0.09563,     2.64155,    -0.20242,    -0.21875,    -0.19194,    -0.22492,    -0.21567,    -0.21691
0.08072809899931599,     0.09656,     2.72385,    -0.30074,    -0.27547,    -0.31800,    -0.27608,    -0.35222,    -0.33865
0.09080371599884529,     0.09625,     2.80522,    -0.20427,    -0.21937,    -0.19471,    -0.22307,    -0.21660,    -0.21968
0.10094075799861457,     0.09594,     2.88536,    -0.29550,    -0.27115,    -0.29735,    -0.25759,    -0.30783,    -0.28903
0.11045847300010792,     0.09687,     2.95440,    -0.20088,    -0.21598,    -0.20334,    -0.22091,    -0.22307,    -0.22584
0.12037564699858194,     0.09717,     3.02498,    -0.30506,    -0.27917,    -0.33249,    -0.27639,    -0.36269,    -0.35437
0.1304507629993168,     0.09687,     3.09218,    -0.20088,    -0.21783,    -0.19071,    -0.21783,    -0.21136,    -0.21290
0.14036227099859389,     0.09717,     3.15351,    -0.30567,    -0.28040,    -0.32848,    -0.27300,    -0.36146,    -0.35222
0.1503429069998674,     0.09563,     3.20930,    -0.19903,    -0.21598,    -0.18886,    -0.21321,    -0.21228,    -0.20951
0.16032472799997777,     0.09687,     3.26231,    -0.30413,    -0.27947,    -0.32663,    -0.26900,    -0.36208,    -0.34913
0.17034362300000794,     0.09687,     3.30916,    -0.19964,    -0.21536,    -0.19071,    -0.21259,    -0.20797,    -0.21197
0.18033872199885081,     0.09594,     3.35478,    -0.30475,    -0.27917,    -0.32694,    -0.26776,    -0.36115,    -0.34852
0.1903416360000847,     0.09625,     3.38992,    -0.19872,    -0.21629,    -0.19286,    -0.21228,    -0.21167,    -0.21629
0.20032729099875723,     0.09779,     3.42321,    -0.30475,    -0.27732,    -0.31769,    -0.26745,    -0.35653,    -0.33835
0.21037649999925634,     0.09625,     3.44941,    -0.19995,    -0.21506,    -0.19595,    -0.21259,    -0.21228,    -0.21875
0.2204709309989994,     0.09594,     3.47036,    -0.30352,    -0.27886,    -0.32170,    -0.26776,    -0.36177,    -0.34451
0.23041695699976117,     0.09656,     3.48239,    -0.20057,    -0.21752,    -0.19317,    -0.21197,    -0.21259,    -0.21567
0.24046185199949832,     0.09625,     3.49194,    -0.30475,    -0.27824,    -0.32663,    -0.26745,    -0.36146,    -0.34790
0.2504754129986395,     0.09717,     3.49317,    -0.20057,    -0.21660,    -0.19163,    -0.21043,    -0.21105,    -0.21351
0.2603535139987798,     0.09656,     3.49410,    -0.30537,    -0.27886,    -0.32817,    -0.26807,    -0.36177,    -0.35067
0.27036868699906336,     0.09563,     3.48300,    -0.19903,    -0.21506,    -0.18947,    -0.21136,    -0.20951,    -0.21074
0.2803507489988988,     0.09687,     3.46697,    -0.30506,    -0.27886,    -0.32787,    -0.26807,    -0.36300,    -0.35067
0.2903664959994785,     0.09656,     3.44848,    -0.19934,    -0.21629,    -0.19317,    -0.21167,    -0.20982,    -0.21598
